complexity,loss,equation,score,sympy_format,lambda_format,simulation,parsimony,populations
27,1.9692852,"((((P_dyn + (P_dyn + (DST + (P_dyn + (Ey + P_dyn))))) * -0.058895502) - max(Ey, -0.2790569)) * sqrt(sqrt(P_dyn * max(0.4620458, Ey)))) - -0.22399896",0.0006906872209574224,"((((P_dyn + (P_dyn + (DST + (P_dyn + (Ey + P_dyn))))) * -0.058895502) - max(Ey, -0.2790569)) * sqrt(sqrt(P_dyn * max(0.4620458, Ey)))) - -0.22399896","PySRFunction(X=>((((P_dyn + (P_dyn + (DST + (P_dyn + (Ey + P_dyn))))) * -0.058895502) - max(Ey, -0.2790569)) * sqrt(sqrt(P_dyn * max(0.4620458, Ey)))) - -0.22399896)",83,0.5245512299539379,47
27,1.969552,"((((((P_dyn + DST) + (P_dyn + sign(Ey))) * -0.04187328) - max(0.08469594, Ey)) * sqrt(min(max(0.0970284, Ey), 3.3851764) + P_dyn)) + 0.42609894) * 0.89463174",4.579616816856134e-05,"((((((P_dyn + DST) + (P_dyn + sign(Ey))) * -0.04187328) - max(0.08469594, Ey)) * sqrt(min(max(0.0970284, Ey), 3.3851764) + P_dyn)) + 0.42609894) * 0.89463174","PySRFunction(X=>((((((P_dyn + DST) + (P_dyn + sign(Ey))) * -0.04187328) - max(0.08469594, Ey)) * sqrt(min(max(0.0970284, Ey), 3.3851764) + P_dyn)) + 0.42609894) * 0.89463174)",48,0.005399343270369528,91
26,1.9696422,"(((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, 0.053195503 + Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894) * 0.89463174",9.477980577857458e-05,"(((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, 0.053195503 + Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894) * 0.89463174","PySRFunction(X=>(((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, 0.053195503 + Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894) * 0.89463174)",48,0.005399343270369528,91
24,1.9700156,"(((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894) * 0.89463174",0.0007755342215137848,"(((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894) * 0.89463174","PySRFunction(X=>(((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894) * 0.89463174)",48,0.005399343270369528,91
30,1.9706111,"min(sqrt(((P_dyn + 0.68839526) + (Ey > P_dyn)) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)",0.00012963840446198423,"min(sqrt(((P_dyn + 0.68839526) + (Ey > P_dyn)) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)","PySRFunction(X=>min(sqrt(((P_dyn + 0.68839526) + (Ey > P_dyn)) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912))",35,0.25845130777194564,52
28,1.9711221,"min(sqrt((P_dyn + 0.68839526) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((min(-2.047026, Ey) - (P_dyn * -0.73460466)) * 0.13552912)",6.257465307579188e-05,"min(sqrt((P_dyn + 0.68839526) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((min(-2.047026, Ey) - (P_dyn * -0.73460466)) * 0.13552912)","PySRFunction(X=>min(sqrt((P_dyn + 0.68839526) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((min(-2.047026, Ey) - (P_dyn * -0.73460466)) * 0.13552912))",35,0.25845130777194564,52
26,1.9713688,"min(sqrt((P_dyn + 0.68839526) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)",0.0002534499548285871,"min(sqrt((P_dyn + 0.68839526) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)","PySRFunction(X=>min(sqrt((P_dyn + 0.68839526) + (Ey > 1.0651557)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912))",35,0.25845130777194564,52
29,1.9714499,"((DST - (min(((2.2200227 - max(P_dyn, -0.32096955)) - Ey) * 2.281427, sqrt(sign(P_dyn))) - Ey)) * -0.11023003) + min((0.32734087 - Ey) * 2.2593315, DST * 0.06696768)",7.101369924478407e-07,"((DST - (min(((2.2200227 - max(P_dyn, -0.32096955)) - Ey) * 2.281427, sqrt(sign(P_dyn))) - Ey)) * -0.11023003) + min((0.32734087 - Ey) * 2.2593315, DST * 0.06696768)","PySRFunction(X=>((DST - (min(((2.2200227 - max(P_dyn, -0.32096955)) - Ey) * 2.281427, sqrt(sign(P_dyn))) - Ey)) * -0.11023003) + min((0.32734087 - Ey) * 2.2593315, DST * 0.06696768))",86,0.3132475627456748,60
28,1.9714513,"((DST - (min(((2.2200227 - max(P_dyn, -0.32096955)) - Ey) * 2.281427, sqrt(P_dyn)) - Ey)) * -0.11023003) + min((0.32734087 - Ey) * 2.2593315, DST * 0.06696768)",0.0006312713938958661,"((DST - (min(((2.2200227 - max(P_dyn, -0.32096955)) - Ey) * 2.281427, sqrt(P_dyn)) - Ey)) * -0.11023003) + min((0.32734087 - Ey) * 2.2593315, DST * 0.06696768)","PySRFunction(X=>((DST - (min(((2.2200227 - max(P_dyn, -0.32096955)) - Ey) * 2.281427, sqrt(P_dyn)) - Ey)) * -0.11023003) + min((0.32734087 - Ey) * 2.2593315, DST * 0.06696768))",86,0.3132475627456748,60
25,1.9720074,"((((P_dyn + -0.7120644) + (DST + (Ey + P_dyn))) * -0.058895502) - max(Ey, -0.2790569)) * (sqrt(sqrt(P_dyn * max(0.16373013, Ey))) - -0.22399896)",0.00013089008296785417,"((((P_dyn + -0.7120644) + (DST + (Ey + P_dyn))) * -0.058895502) - max(Ey, -0.2790569)) * (sqrt(sqrt(P_dyn * max(0.16373013, Ey))) - -0.22399896)","PySRFunction(X=>((((P_dyn + -0.7120644) + (DST + (Ey + P_dyn))) * -0.058895502) - max(Ey, -0.2790569)) * (sqrt(sqrt(P_dyn * max(0.16373013, Ey))) - -0.22399896))",83,0.5245512299539379,47
