complexity,loss,score,equation,sympy_format,lambda_format,simulation,parsimony,populations
15,1.986408,0.0003214066574589208,"min(-0.05142567 * (DST + Ey), (((DST * -0.08461227) - Ey) - -0.32675934) - Ey)","Piecewise((-0.05142567*(DST + Ey), 0.05142567*(DST + Ey) > -1*DST*(-0.08461227) + 2*Ey - 0.32675934), (DST*(-0.08461227) - Ey - Ey - 1*(-0.32675934), True))","PySRFunction(X=>Piecewise((-0.05142567*(DST + Ey), 0.05142567*(DST + Ey) > -1*DST*(-0.08461227) + 2*Ey - 0.32675934), (DST*(-0.08461227) - Ey - Ey - 1*(-0.32675934), True)))",46,0.07003251233607233,69
13,1.9876853,0.0020578948838154178,"min(-0.05142567 * DST, (((DST * -0.08461227) - Ey) - -0.32675934) - Ey)","Piecewise((-0.05142567*DST, 0.05142567*DST > -1*DST*(-0.08461227) + 2*Ey - 0.32675934), (DST*(-0.08461227) - Ey - Ey - 1*(-0.32675934), True))","PySRFunction(X=>Piecewise((-0.05142567*DST, 0.05142567*DST > -1*DST*(-0.08461227) + 2*Ey - 0.32675934), (DST*(-0.08461227) - Ey - Ey - 1*(-0.32675934), True)))",46,0.07003251233607233,69
15,1.9882864,0.0007866495719108572,"((((-0.046128605 * DST) - max(Ey, -0.04718576)) + -0.7800058) * sqrt(P_dyn)) + sqrt(0.8466262)","sqrt(P_dyn)*(-0.046128605*DST - Piecewise((-0.04718576, Ey < -0.04718576), (Ey, True)) - 0.7800058) + 0.92012292657014","PySRFunction(X=>sqrt(P_dyn)*(-0.046128605*DST - Piecewise((-0.04718576, Ey < -0.04718576), (Ey, True)) - 0.7800058) + 0.92012292657014)",59,0.5711549182562068,96
15,1.9893503,0.000785576072542784,"((-0.048300672 * (DST + P_dyn)) - (max(-0.048300672, Ey) / 0.805729)) * sqrt(sqrt(P_dyn))","P_dyn**(1/4)*(-0.048300672*DST - 0.048300672*P_dyn - 1.24111208607361*Piecewise((Ey, Ey > -0.048300672), (-0.048300672, True)))","PySRFunction(X=>P_dyn**(1/4)*(-0.048300672*DST - 0.048300672*P_dyn - 1.24111208607361*Piecewise((Ey, Ey > -0.048300672), (-0.048300672, True))))",62,0.590116948523795,112
14,1.9898511,0.0025818325075607843,"((((-0.046128605 * DST) - max(Ey, -0.30686215)) + -0.7800058) * sqrt(P_dyn)) + 0.8466262","sqrt(P_dyn)*(-0.046128605*DST - Piecewise((-0.30686215, Ey < -0.30686215), (Ey, True)) - 0.7800058) + 0.8466262","PySRFunction(X=>sqrt(P_dyn)*(-0.046128605*DST - Piecewise((-0.30686215, Ey < -0.30686215), (Ey, True)) - 0.7800058) + 0.8466262)",59,0.5711549182562068,96
14,1.9909137,0.00025874217997939213,"(((-0.048300672 * (DST + P_dyn)) - max(-0.048300672, Ey)) * sqrt(P_dyn)) - -0.1362704","sqrt(P_dyn)*(-0.048300672*DST - 0.048300672*P_dyn - Piecewise((Ey, Ey > -0.048300672), (-0.048300672, True))) + 0.1362704","PySRFunction(X=>sqrt(P_dyn)*(-0.048300672*DST - 0.048300672*P_dyn - Piecewise((Ey, Ey > -0.048300672), (-0.048300672, True))) + 0.1362704)",62,0.590116948523795,112
15,1.9909931,0.000996523549893475,"((max(-0.053749718, Ey) * -1.0591724) - (square(0.20752208) * (DST + P_dyn))) * sqrt(P_dyn)","sqrt(P_dyn)*(-0.0430654136875264*DST - 0.0430654136875264*P_dyn - 1.0591724*Piecewise((Ey, Ey > -0.053749718), (-0.053749718, True)))","PySRFunction(X=>sqrt(P_dyn)*(-0.0430654136875264*DST - 0.0430654136875264*P_dyn - 1.0591724*Piecewise((Ey, Ey > -0.053749718), (-0.053749718, True))))",19,0.7144065304204593,49
15,1.9910222,1.4063118086519075e-06,"(((DST / (-21.490154 - P_dyn)) + min(square(-0.08054463), Ey)) - Ey) * sqrt(P_dyn)","sqrt(P_dyn)*(DST/(-P_dyn - 21.490154) - Ey + Piecewise((0.0064874374218369, Ey > 0.0064874374218369), (Ey, True)))","PySRFunction(X=>sqrt(P_dyn)*(DST/(-P_dyn - 21.490154) - Ey + Piecewise((0.0064874374218369, Ey > 0.0064874374218369), (Ey, True))))",39,0.8660561473765993,89
14,1.991025,0.002029326364802948,"(((DST / (-21.490154 - P_dyn)) + min(0.0012261414, Ey)) - Ey) * sqrt(P_dyn)","sqrt(P_dyn)*(DST/(-P_dyn - 21.490154) - Ey + Piecewise((0.0012261414, Ey > 0.0012261414), (Ey, True)))","PySRFunction(X=>sqrt(P_dyn)*(DST/(-P_dyn - 21.490154) - Ey + Piecewise((0.0012261414, Ey > 0.0012261414), (Ey, True))))",39,0.8660561473765993,89
15,1.9912045,0.00021336566489104543,"((DST * -0.051092997) - (max(Ey * 1.2355362, -4.5616734e-6) * sqrt(sqrt(P_dyn)))) + 0.16001038","-0.051092997*DST - P_dyn**(1/4)*Piecewise((-4.5616734e-6, 1.2355362*Ey < -4.5616734e-6), (1.2355362*Ey, True)) + 0.16001038","PySRFunction(X=>-0.051092997*DST - P_dyn**(1/4)*Piecewise((-4.5616734e-6, 1.2355362*Ey < -4.5616734e-6), (1.2355362*Ey, True)) + 0.16001038)",32,0.2636285355620135,89
